ID	Name	photo	Lv	luck	spd	hp	ac	mac	Dc	Dc2	Mc	Mc2	Sc	Sc2	Need	NeedLvl	Price
307036	星王战戒	307036	7	0	0	0	0	1	0	12	0	0	0	0	0	60	2500
307037	星王魔戒	307036	7	0	0	0	0	1	0	0	2	11	0	0	0	60	2500
307038	星王道戒	307036	7	0	0	0	1	0	0	0	0	0	2	12	0	60	2500
307039	狂雷战戒	307039	8	0	0	0	0	2	3	17	0	0	0	0	0	70	2500
307040	逆火魔戒	307040	8	0	0	0	0	2	0	0	5	15	0	0	0	70	2500
307041	通云道戒	307041	8	0	0	0	0	2	0	0	0	0	5	15	0	70	2500
307042	王者战戒	307042	9	0	0	0	0	2	5	22	0	0	0	0	0	80	2500
307043	王者魔戒	307042	9	0	0	0	0	2	0	0	5	20	0	0	0	80	2500
307044	王者道戒	307042	9	0	0	0	0	2	0	0	0	0	5	22	0	80	2500
307045	炎龙战戒	307045	10	0	0	0	0	3	8	29	0	0	0	0	0	90	3000
307046	雷龙魔戒	307046	10	0	0	0	0	3	0	0	6	25	0	0	0	90	3000
307047	青龙道戒	307047	10	0	0	0	0	3	0	0	0	0	6	26	0	90	3000
307048	荣耀战戒	307048	11	0	0	0	0	3	13	34	0	0	0	0	0	100	4000
307049	荣耀魔戒	307049	11	0	0	0	0	3	0	0	11	30	0	0	0	100	4000
307050	荣耀道戒	307050	11	0	0	0	0	3	0	0	0	0	8	29	0	100	4000
307051	天龙战戒	307051	12	0	0	0	2	0	19	43	0	0	0	0	0	115	4600
307052	天龙魔戒	307051	12	0	0	0	2	0	0	0	14	38	0	0	0	115	4600
307053	天龙道戒	307051	12	0	0	0	2	0	0	0	0	0	12	36	0	115	4600
307054	虎威战戒	307054	13	0	0	0	2	2	27	54	0	0	0	0	0	130	5200
307055	虎威魔戒	307054	13	0	0	0	0	1	0	0	19	47	0	0	0	130	5200
307056	虎威道戒	307054	13	0	0	0	2	1	0	0	0	0	19	44	0	130	5200
307057	传奇战戒	307057	14	0	0	0	3	0	34	66	0	0	0	0	0	145	5800
307058	传奇魔戒	307057	14	0	0	0	0	3	0	0	26	56	0	0	0	145	5800
307059	传奇道戒	307057	14	0	0	0	2	2	0	0	0	0	28	54	0	145	5800
308001	初入江湖	308001	9999	0	0	0	0	0	10	35	10	35	10	35	0	1	500
308002	江湖豪杰	308002	9999	0	0	0	0	0	18	63	18	63	18	63	0	1	750
308003	名动江湖	308003	9999	0	0	0	0	0	28	100	28	100	28	100	0	1	1250
308004	威震八方	308004	9999	0	0	0	0	0	39	140	39	140	39	140	0	1	1750
308005	盖世奇侠	308005	9999	0	0	0	0	0	50	182	50	182	50	182	0	1	2250
308006	一代宗师	308006	9999	0	0	0	0	0	62	227	62	227	62	227	0	1	2750
308007	名扬四海	308007	9999	0	0	0	0	0	74	272	74	272	74	272	0	1	3250
308008	震铄古今	308008	9999	0	0	0	0	0	85	312	85	312	85	312	0	1	3750
308009	霸者无敌	308009	9999	0	0	0	0	0	93	343	93	343	93	343	0	1	5000
308010	武林至尊	308010	9999	0	0	0	0	0	102	377	102	377	102	377	0	1	6250
308011	天下霸主	308011	9999	0	0	0	0	0	112	414	112	414	112	414	0	1	7500
308012	苍生主宰	308012	9999	0	0	0	0	0	123	455	123	455	123	455	0	1	8750
309001	腰带·紫晴	309001	1	0	0	30	0	0	0	0	0	0	0	0	0	1	50
309002	腰带·羽化	309002	2	0	0	50	0	0	0	0	0	0	0	0	0	10	100
309003	腰带·纷飞	309003	3	0	0	90	0	0	0	0	0	0	0	0	0	20	200
309004	腰带·风铃	309004	4	0	0	150	0	0	0	0	0	0	0	0	0	30	300
309005	腰带·绝然	309005	5	0	0	230	0	0	0	0	0	0	0	0	0	40	450
309006	腰带·光辉	309006	6	0	0	330	0	0	0	0	0	0	0	0	0	50	620
309007	腰带·紫霞	309007	7	0	0	470	0	0	0	0	0	0	0	0	0	60	800
309008	腰带·落日	309008	8	0	0	650	0	0	0	0	0	0	0	0	0	70	1100
309009	腰带·晨曦	309009	9	0	0	870	0	0	0	0	0	0	0	0	0	80	1300
309010	腰带·朱曦	309010	10	0	0	1130	0	0	0	0	0	0	0	0	0	90	1450
309011	腰带·素影	309011	11	0	0	1430	0	0	0	0	0	0	0	0	0	100	1730
309012	腰带·霞光	309012	12	0	0	1770	0	0	0	0	0	0	0	0	0	115	2150
309013	腰带·虹彩	309013	13	0	0	2150	0	0	0	0	0	0	0	0	0	130	2480
309014	腰带·流云	309014	14	0	0	2590	0	0	0	0	0	0	0	0	0	145	2690
309015	腰带·曼陀	309015	15	0	0	3090	0	0	0	0	0	0	0	0	0	160	3000
309016	腰带·惊风	309016	16	0	0	3650	0	0	0	0	0	0	0	0	0	175	3400
309017	腰带·怒雪	309017	17	0	0	4270	0	0	0	0	0	0	0	0	0	190	3800
309018	腰带·纤云	309018	18	0	0	4950	0	0	0	0	0	0	0	0	0	205	4300
309019	腰带·清虚	309019	19	0	0	5690	0	0	0	0	0	0	0	0	0	220	4800
309020	腰带·洞幽	309020	20	0	0	6490	0	0	0	0	0	0	0	0	0	235	5500
310001	布鞋	310001	2	0	0	0	1	0	0	0	0	0	0	0	0	15	200
310002	鹿皮靴	310002	3	0	0	0	2	0	0	0	0	0	0	0	0	22	2000
310003	紫绸靴	310003	4	0	0	0	3	0	0	0	0	0	0	0	0	30	2000
310004	避魂靴	310004	5	0	0	0	3	0	0	0	0	0	0	0	0	26	2000
310005	雷霆战靴	310005	6	0	0	0	3	0	1	0	0	0	0	0	1	45	2000
310006	烈焰魔靴	310006	6	0	0	0	3	0	0	0	1	0	0	0	2	30	2000
310007	光芒道靴	310007	6	0	0	0	3	0	0	0	0	0	1	0	3	28	2000
310008	星王战靴	310008	7	0	0	0	4	3	0	4	0	0	0	0	0	60	2000
310009	星王魔靴	310008	7	0	0	0	3	4	0	0	0	4	0	0	0	60	2000
310010	星王道靴	310008	7	0	0	0	3	3	0	0	0	0	0	4	0	60	2000
310011	狂雷战靴	310011	8	0	0	0	6	4	1	7	0	0	0	0	0	70	2000
310012	逆火魔靴	310012	8	0	0	0	5	6	0	0	3	7	0	0	0	70	2000
310013	通云道靴	310013	8	0	0	0	5	5	0	0	0	0	3	7	0	70	2000
310014	王者战靴	310014	9	0	0	0	7	4	3	10	0	0	0	0	0	80	2000
310015	王者魔靴	310014	9	0	0	0	4	7	0	0	3	10	0	0	0	80	2000
310016	王者道靴	310014	9	0	0	0	5	5	0	0	0	0	3	10	0	80	2000
310017	炎龙战靴	310017	10	0	0	0	8	6	4	14	0	0	0	0	0	90	3500
310018	雷龙魔靴	310018	10	0	0	0	6	8	0	0	4	14	0	0	0	90	3500
310019	青龙道靴	310019	10	0	0	0	6	7	0	0	0	0	4	14	0	90	3500
310020	荣耀战靴	310020	11	0	0	0	10	5	6	18	0	0	0	0	0	100	5000
310021	荣耀魔靴	310021	11	0	0	0	6	10	0	0	6	18	0	0	0	100	5000
310022	荣耀道靴	310022	11	0	0	0	11	9	0	0	0	0	6	18	0	100	5000
310023	天龙战靴	310023	12	0	0	0	15	8	9	22	0	0	0	0	0	115	5750
310024	天龙魔靴	310023	12	0	0	0	8	18	0	0	9	22	0	0	0	115	5750
310025	天龙道靴	310023	12	0	0	0	10	12	0	0	0	0	9	22	0	115	5750
310026	虎威战靴	310026	13	0	0	0	18	12	14	29	0	0	0	0	0	130	6500
310027	虎威魔靴	310026	13	0	0	0	13	18	0	0	14	29	0	0	0	130	6500
310028	虎威道靴	310026	13	0	0	0	16	17	0	0	0	0	14	29	0	130	6500
310029	传奇战靴	310029	14	0	0	0	22	14	23	39	0	0	0	0	0	145	7250
310030	传奇魔靴	310029	14	0	0	0	13	23	0	0	21	36	0	0	0	145	7250
310031	传奇道靴	310029	14	0	0	0	20	19	0	0	0	0	23	34	0	145	7250
311001	尘埃(微光)	311001	9999	0	0	0	0	0	10	25	10	25	10	25	0	10	1000
311002	米粒(珠光)	311002	9999	0	0	0	0	0	16	40	16	40	16	40	0	30	1500
311003	结晶(闪耀)	311003	9999	0	0	0	0	0	24	60	24	60	24	60	0	50	2000
311004	碎片(灼目)	311004	9999	0	0	0	0	0	33	84	33	84	33	84	0	70	2500
311005	宝石(彷惶)	311005	9999	0	0	0	0	0	44	113	44	113	44	113	0	90	3000
311006	菲娜(碎片)	311006	9999	0	0	0	0	0	57	146	57	146	57	146	0	100	3500
311007	菲娜(结晶)	311007	9999	0	0	0	0	0	71	182	71	182	71	182	0	110	4000
311008	菲娜(打磨)	311008	9999	0	0	0	0	0	85	218	85	218	85	218	0	120	4500
311009	菲娜(雕琢)	311009	9999	0	0	0	0	0	100	257	100	257	100	257	0	130	5000
311010	菲娜(精致)	311010	9999	0	0	0	0	0	116	298	116	298	116	298	0	140	5500
311011	菲娜(完美)	311011	9999	0	0	0	0	0	132	339	132	339	132	339	0	150	6000
311012	菲娜(祝福)	311012	9999	0	0	0	0	0	147	379	147	379	147	379	0	160	6500
312001	护盾·驰天	312001	9999	0	0	0	14	13	0	0	0	0	0	0	0	10	1000
312002	护盾·洪天	312002	9999	0	0	0	26	23	0	0	0	0	0	0	0	30	1500
312003	护盾·玄天	312003	9999	0	0	0	42	39	0	0	0	0	0	0	0	50	2000
312004	护盾·鸿天	312004	9999	0	0	0	62	56	0	0	0	0	0	0	0	70	2500
312005	护盾·镇天	312005	9999	0	0	0	77	70	0	0	0	0	0	0	0	90	3000
312006	护盾·通天	312006	9999	0	0	0	91	82	0	0	0	0	0	0	0	100	3500
312007	护盾·凌天	312007	9999	0	0	0	106	96	0	0	0	0	0	0	0	110	4000
312008	护盾·傲天	312008	9999	0	0	0	124	111	0	0	0	0	0	0	0	120	4500
312009	护盾·逆天	312009	9999	0	0	0	142	128	0	0	0	0	0	0	0	130	5000
312010	护盾·不灭	312010	9999	0	0	0	161	145	0	0	0	0	0	0	0	140	5500
312011	护盾·无上	312011	9999	0	0	0	181	163	0	0	0	0	0	0	0	150	6000
312012	护盾·洪荒	312012	9999	0	0	0	203	182	0	0	0	0	0	0	0	160	6500
