Level	exp	hp	mp	dc1	dc2	mc1	mc2	sc1	sc2	ac	mac
477	18110661430 	30000	11123	95	159	0	0	0	0	47	23
478	18224903430 	30031	11143	95	159	0	0	0	0	47	23
479	18339623930 	30062	11163	95	160	0	0	0	0	47	23
480	18454823930 	30093	11183	96	160	0	0	0	0	48	24
481	18570504430 	30124	11203	96	160	0	0	0	0	48	24
482	18686666430 	30155	11223	96	161	0	0	0	0	48	24
483	18803310930 	30186	11243	96	161	0	0	0	0	48	24
484	18920438930 	30217	11263	96	161	0	0	0	0	48	24
485	19038051430 	30248	11283	97	162	0	0	0	0	48	24
486	19156149430 	30279	11303	97	162	0	0	0	0	48	24
487	19274733930 	30310	11323	97	162	0	0	0	0	48	24
488	19393805930 	30341	11343	97	163	0	0	0	0	48	24
489	19513366430 	30372	11363	97	163	0	0	0	0	48	24
490	19633416430 	30403	11383	98	163	0	0	0	0	49	24
491	19753956930 	30434	11403	98	164	0	0	0	0	49	24
492	19874988930 	30465	11423	98	164	0	0	0	0	49	24
493	19996513430 	30496	11443	98	164	0	0	0	0	49	24
494	20118531430 	30527	11463	98	165	0	0	0	0	49	24
495	20241043930 	30558	11483	99	165	0	0	0	0	49	24
496	20364051930 	30589	11503	99	165	0	0	0	0	49	24
497	20487556430 	30620	11523	99	166	0	0	0	0	49	24
498	20611558430 	30651	11543	99	166	0	0	0	0	49	24
499	20736058930 	30682	11563	99	166	0	0	0	0	49	24
